acquisitionDate,additionalInfo_ACTION,additionalInfo_FORMED_GEN,additionalInfo_Fe_avg,additionalInfo_HARVDATE,additionalInfo_HETER_GROUP,additionalInfo_NOTE_AA_text,additionalInfo_PLOTS_IN_TRIAL,additionalInfo_PRODLOC,additionalInfo_PRODSEASON,additionalInfo_QPM_ZN_DONOR,additionalInfo_REC_PARENT,additionalInfo_SOWDATE,additionalInfo_YEARCODE,additionalInfo_Zn_avg,breedingMethodDbId,countryOfOriginCode,defaultDisplayName,donors,germplasmDbId,germplasmName,pedigree,storageTypes,synonyms,taxonIds
2017-08-22,selfed,increase,,20170822,,,SN17B03,centro,2017B,,CLWQHZN19,20170413,X13,,61,CE,X1G01U00013,[],2QEDGKtSVMRgy,X1G01U00013,X1G01U00013,[],"[{""synonym"": ""CLWQHZN19"", ""type"": ""LNAME""}, {""synonym"": ""CLWQHZN19"", ""type"": ""PED""}]",[]
2017-08-22,selfed,increase,,20170822,,Se uso en incremento F17,SN17B07,centro,2017B,,CLWNHZN44,20170413,X14,,61,CE,X1G01U00014,[],2QEDGBgWhvNQG,X1G01U00014,X1G01U00014,[],"[{""synonym"": ""CLWNHZN44"", ""type"": ""LNAME""}, {""synonym"": ""CLWNHZN44"", ""type"": ""PED""}]",[]
2017-08-22,selfed,increase,,20170822,,,SN17B10,centro,2017B,,CLWQHZN69,20170413,X15,,61,CE,X1G01U00015,[],2QEDG1Mb0lN37,X1G01U00015,X1G01U00015,[],"[{""synonym"": ""CLWQHZN69"", ""type"": ""LNAME""}, {""synonym"": ""CLWQHZN69"", ""type"": ""PED""}]",[]
2017-08-22,selfed,increase,,20170822,,,SN17B14,centro,2017B,,CLWQHZN19,20170413,X16,,61,CE,X1G01U00016,[],2QEDG76EGQjWx,X1G01U00016,X1G01U00016,[],"[{""synonym"": ""CLWQHZN19"", ""type"": ""LNAME""}, {""synonym"": ""CLWQHZN19"", ""type"": ""PED""}]",[]
2017-08-22,selfed,increase,,20170822,,Se uso en incremento F17,SN17B18,centro,2017B,,CLWNHZN43,20170413,X17,,61,CE,X1G01U00017,[],2QEDGbSadSuEo,X1G01U00017,X1G01U00017,[],"[{""synonym"": ""CLWNHZN43"", ""type"": ""LNAME""}, {""synonym"": ""CLWNHZN43"", ""type"": ""PED""}]",[]
2017-08-22,selfed,increase,,20170822,,,SN17B21,centro,2017B,,CLWQHZN69,20170413,X18,,61,CE,X1G01U00018,[],2QEDGtWT1HSms,X1G01U00018,X1G01U00018,[],"[{""synonym"": ""CLWQHZN69"", ""type"": ""LNAME""}, {""synonym"": ""CLWQHZN69"", ""type"": ""PED""}]",[]
2017-08-22,selfed,increase,,20170822,,Se uso en incremento F17,SN17B25,centro,2017B,,CML576,20170413,X19,,61,CE,X1G01U00019,[],2QEDGSG9bH6JL,X1G01U00019,X1G01U00019,[],"[{""synonym"": ""CML576"", ""type"": ""LNAME""}, {""synonym"": ""(CLFAWW11/CML494)-B-24-2-2-B-B-1-B-8-B-B"", ""type"": ""PED""}]",[]
2017-08-22,selfed,increase,,20170822,,,SN17B28,centro,2017B,,CLWQHZN46,20170413,X20,,61,CE,X1G01U00020,[],2QEDGvLkQpnt9,X1G01U00020,X1G01U00020,[],"[{""synonym"": ""CLWQHZN46"", ""type"": ""LNAME""}, {""synonym"": ""CLWQHZN46"", ""type"": ""PED""}]",[]
2017-08-22,cross,BC0F1,,20170822,,,SN17B3x28,centro,2017B,CLWQHZN46,CLWQHZN19,20170413,X1,,107,CE,X1G01U00001,[],2QEDGJ6thYAbZ,X1G01U00001,X1G01U00013/X1G01U00020,[],"[{""synonym"": ""SNHBKWZ22400"", ""type"": ""LNAME""}, {""synonym"": ""CLWQHZN19/CLWQHZN46"", ""type"": ""PED""}]",[]
2017-08-22,cross,BC0F1,,20170822,,,SN17B3x7,centro,2017B,CLWNHZN44,CLWQHZN19,20170413,X2,,107,CE,X1G01U00002,[],2QEDGhk6DGheu,X1G01U00002,X1G01U00013/X1G01U00014,[],"[{""synonym"": ""SNHBKWZ22401"", ""type"": ""LNAME""}, {""synonym"": ""CLWQHZN19/CLWNHZN44\r\n"", ""type"": ""PED""}]",[]
2017-08-22,cross,BC0F1,,20170822,,,SN17B7x3,centro,2017B,CLWQHZN19,CLWNHZN44,20170413,X3,,107,CE,X1G01U00003,[],2QEDGbznsE0h9,X1G01U00003,X1G01U00014/X1G01U00013,[],"[{""synonym"": ""SNHBKWZ22402"", ""type"": ""LNAME""}, {""synonym"": ""CLWNHZN44/CLWQHZN19"", ""type"": ""PED""}]",[]
2017-08-22,cross,BC0F1,,20170822,,,SN17B7x10,centro,2017B,CLWQHZN69,CLWNHZN44,20170413,X4,,107,CE,X1G01U00004,[],2QEDGKPSzQon6,X1G01U00004,X1G01U00014/X1G01U00015,[],"[{""synonym"": ""SNHBKWZ22403"", ""type"": ""LNAME""}, {""synonym"": ""CLWNHZN44/CLWQHZN69"", ""type"": ""PED""}]",[]
2017-08-22,cross,BC0F1,,20170822,,,SN17B10x7,centro,2017B,CLWNHZN44,CLWQHZN69,20170413,X5,,107,CE,X1G01U00005,[],2QEDGHvce19Qf,X1G01U00005,X1G01U00015/X1G01U00014,[],"[{""synonym"": ""SNHBKWZ22404"", ""type"": ""LNAME""}, {""synonym"": ""CLWQHZN69/CLWNHZN44"", ""type"": ""PED""}]",[]
2017-08-22,cross,BC0F1,,20170822,,,SN17B10x28,centro,2017B,CLWQHZN46,CLWQHZN69,20170413,X6,,107,CE,X1G01U00006,[],2QEDGXsFSPHfZ,X1G01U00006,X1G01U00015/X1G01U00020,[],"[{""synonym"": ""SNHBKWZ22405"", ""type"": ""LNAME""}, {""synonym"": ""CLWQHZN69/CLWQHZN46"", ""type"": ""PED""}]",[]
2017-08-22,cross,BC0F1,,20170822,,,SN17B14x18,centro,2017B,CLWNHZN43,CLWQHZN19,20170413,X7,,107,CE,X1G01U00007,[],2QEDGaLGErcUn,X1G01U00007,X1G01U00013/X1G01U00017,[],"[{""synonym"": ""SNHBKWZ22406"", ""type"": ""LNAME""}, {""synonym"": ""CLWQHZN19/CLWNHZN43\r\n"", ""type"": ""PED""}]",[]
2017-08-22,cross,BC0F1,,20170822,,,SN17B14x28,centro,2017B,CLWQHZN46,CLWQHZN19,20170413,X8,,107,CE,X1G01U00008,[],2QEDGlOoVVfER,X1G01U00008,X1G01U00013/X1G01U00020,[],"[{""synonym"": ""SNHBKWZ22407"", ""type"": ""LNAME""}, {""synonym"": ""CLWQHZN19/CLWQHZN46"", ""type"": ""PED""}]",[]
2017-08-22,cross,BC0F1,,20170822,,,SN17B18x14,centro,2017B,CLWQHZN19,CLWNHZN43,20170413,X9,,107,CE,X1G01U00009,[],2QEDG9yn9tgsb,X1G01U00009,X1G01U00017/X1G01U00013,[],"[{""synonym"": ""SNHBKWZ22408"", ""type"": ""LNAME""}, {""synonym"": ""CLWNHZN43/CLWQHZN19"", ""type"": ""PED""}]",[]
2017-08-22,cross,BC0F1,,20170822,,,SN17B18x21,centro,2017B,CLWQHZN69,CLWNHZN43,20170413,X10,,107,CE,X1G01U00010,[],2QEDGnxm8MGcT,X1G01U00010,X1G01U00017/X1G01U00015,[],"[{""synonym"": ""SNHBKWZ22409"", ""type"": ""LNAME""}, {""synonym"": ""CLWNHZN43/CLWQHZN69"", ""type"": ""PED""}]",[]
2017-08-22,cross,BC0F1,,20170822,,,SN17B21x18,centro,2017B,CLWNHZN43,CLWQHZN69,20170413,X11,,107,CE,X1G01U00011,[],2QEDG3otAe5lx,X1G01U00011,X1G01U00015/X1G01U00017,[],"[{""synonym"": ""SNHBKWZ22410"", ""type"": ""LNAME""}, {""synonym"": ""CLWQHZN69/CLWNHZN43\r\n"", ""type"": ""PED""}]",[]
2017-08-22,cross,BC0F1,,20170822,,,SN17B25x28,centro,2017B,CLWQHZN46,CML576,20170413,X12,,107,CE,X1G01U00012,[],2QEDG1u8CdTTa,X1G01U00012,X1G01U00019/X1G01U00020,[],"[{""synonym"": ""SNHWZ22450"", ""type"": ""LNAME""}, {""synonym"": ""CML576/CLWQHZN46"", ""type"": ""PED""}]",[]
2017-09-22,,,,,A,,1,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X112,,62,CE,CLRCW96,[],2QEDGoO8uWqIG,CLRCW96,CLRCW96,[],[],[]
2017-09-22,,,,,A,,2,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X113,,62,CE,CLRCW86,[],2QEDGMJVUpZT0,CLRCW86,CLRCW86,[],[],[]
2017-09-22,,,,,A,,3,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X114,,62,CE,CML264,[],2QEDGmvNUPKM7,CML264,CML264,[],[],[]
2017-09-22,,,,,B,,4,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X115,,62,CE,CML269,[],2QEDGU7nGnWeY,CML269,CML269,[],[],[]
2017-09-22,,,,,A,,5,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X116,,62,CE,CLWQHZN12,[],2QEDGeFYgmoRR,CLWQHZN12,CLWQHZN12,[],[],[]
2017-09-22,,,,,A,,6,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X117,,62,CE,CLWQHZN14,[],2QEDGVYF00DIz,CLWQHZN14,CLWQHZN14,[],[],[]
2017-09-22,,,,,B,,7,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X118,,62,CE,CLWQHZN49,[],2QEDG5wfZQJ5h,CLWQHZN49,CLWQHZN49,[],[],[]
2017-09-22,,,,,B,,8,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X119,,62,CE,CLWQHZN53,[],2QEDGNso9CIOl,CLWQHZN53,CLWQHZN53,[],[],[]
2017-09-22,,,,,B,,9,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X120,,62,CE,CML550=CLWN201,[],2QEDGXSawpMki,CML550=CLWN201,CML550=CLWN201,[],[],[]
2017-09-22,,,,,A,,10,,,CIMMYT No. S2017_31158624,CIMMYT No. S2017_31158624,,X121,,62,CE,CML549=CLRCW105,[],2QEDGq099oWA6,CML549=CLRCW105,CML549=CLRCW105,[],[],[]
